,protein_name
964,PARK2_PRKN2
965,TP53I11_P5I11
966,FRS2_FRS2
967,CBX7_CBX7
968,BECN1_BECN1
969,PPP1R8_PP1R8
970,TRAF4_TRAF4
971,KCNA10_KCA10
972,ATAD2_ATAD2
973,TSG101_TS101
974,SLC6A14_S6A14
975,PSD_PSD1
976,SLC6A16_S6A16
977,RFK_RIFK
978,GMFG_GMFG
979,EDC4_EDC4
980,PRKG1_KGP1B
981,CCS_CCS
982,ANP32A_AN32A
983,FXR1_FXR1
984,CETN2_CETN2
985,UNC45A_UN45A
986,VARS_SYVC
987,GLP1R_GLP1R
988,BTC_BTC
989,HIF1A_HIF_1a
990,S100A6_S100A6
991,SECTM1_SECTM1
992,RSPO3_RSPO3
993,REG1A_PSP
994,BCL2L2_Apoptosis_regulator_Bcl_W
995,FIGF_VEGF_D
996,SOST_SOST
997,FAM3D_FAM3D
998,EFNB1_EFNB1
999,SNAP25_SNP25
1000,LYPD3_LYPD3
1001,NEGR1_NEGR1
1002,BCL6_BCL6
1003,FSTL1_FSTL1
1004,SPP1_Osteopontin
1005,LUM_Lumican
1006,CD177_CD177
1007,SMOC1_SMOC1
1008,SERPINA10_protein_Z_inhibitor
1009,FLRT2_FLRT2
1010,FLRT3_FLRT3
1011,ISLR2_ISLR2
1012,VTN_Vitronectin
1013,DSC2_DSC2
1014,LDLR_LDLR
1015,HK2_HXK2
1016,HK1_HXK1
1017,SEMA5A_SEM5A
1018,LTBP4_LTBP4
1019,MDM2_MDM2
1020,MDM4_MDM4
1021,IGHG2_IgG2__Kappa
1022,IGHG4_IgG4__Kappa
1023,WNT3A_WNT3A
1024,SHANK1_SHAN1
1025,SHANK3_SHAN3
1026,WNT5A_WNT5A
1027,DEFB113_DB113
1028,SYNGR3_SNG3
1029,CYB561D1_C56D1
1030,C5orf63_YD286
1031,B4GALT1_B4GT1
1032,FH_FUMH
1033,RNF34_RNF34
1034,EHF_EHF
1035,PCSK1_NEC1
1036,ATP1B1_AT1B1
1037,DERL1_DERL1
1038,DEFB4A_HBD_2
1039,RELL1_RELL1
1040,ETV5_ETV5
1041,SPINK2_ISK2
1042,RNF41_RNF41
1043,WFDC6_WFDC6
